Episode,Reward,Num_Actions
60000,69.8,7
60001,-104.00000000000011,38
60002,-3.9999999999999574,19
60003,50.6,11
60004,-26.79999999999997,24
60005,7.200000000000031,19
60006,-26.79999999999997,24
60007,-123.60000000000014,40
60008,-290.0000000000003,50
60009,50.6,11
60010,-275.0000000000003,50
60011,-280.0000000000002,50
60012,50.6,11
60013,-70.20000000000005,32
60014,-115.20000000000013,38
60015,-285.0000000000003,50
60016,-285.0000000000003,50
60017,-280.0000000000002,50
60018,-35.39999999999995,25
60019,-285.0000000000002,50
60020,-295.0000000000003,50
60021,-92.40000000000008,33
60022,-290.0000000000003,50
60023,-285.0000000000002,50
60024,-285.0000000000002,50
60025,45.60000000000001,11
60026,-66.80000000000001,30
60027,-275.0000000000002,50
60028,-84.40000000000009,36
60029,-285.0000000000002,50
60030,74.6,6
60031,55.4,10
60032,-70.20000000000005,32
60033,-290.0000000000003,50
60034,-295.0000000000003,50
60035,11.800000000000026,17
60036,-118.80000000000013,39
60037,-285.0000000000002,50
60038,-295.0000000000003,50
60039,-295.0000000000003,50
60040,-285.0000000000002,50
60041,-290.0000000000002,50
60042,-280.0000000000003,50
60043,-280.0000000000002,50
60044,66.0,7
60045,-186.60000000000028,50
60046,-81.20000000000005,33
60047,-275.0000000000002,50
60048,-280.0000000000003,50
60049,-270.0000000000002,50
60050,-275.0000000000002,50
60051,-280.0000000000002,50
60052,-103.00000000000011,37
60053,-295.0000000000003,50
60054,48.00000000000001,10
60055,61.2,8
60056,-270.0000000000002,50
60057,26.400000000000006,15
60058,55.4,10
60059,-290.0000000000003,50
60060,61.2,8
60061,55.2,9
60062,61.2,8
60063,-275.0000000000002,50
60064,-290.0000000000002,50
60065,-38.59999999999995,27
60066,-270.0000000000003,50
60067,-280.0000000000002,50
60068,-280.0000000000003,50
60069,-295.0000000000002,50
60070,69.8,7
60071,69.8,7
60072,-285.0000000000002,50
60073,-285.0000000000003,50
60074,-94.40000000000012,36
60075,-280.0000000000002,50
60076,-275.0000000000002,50
60077,-26.399999999999963,26
60078,45.6,11
60079,-290.0000000000003,50
60080,-290.0000000000003,50
60081,-104.40000000000012,36
60082,-128.00000000000017,43
60083,-275.0000000000002,50
60084,21.600000000000023,16
60085,-285.0000000000002,50
60086,55.4,10
60087,-12.199999999999974,22
